year,total,male,female
1998,25,21.32,29.96
1999,25.37,21.06,30.26
2000,29.88,25.33,35.66
2001,30.69,26.33,36.41
2002,33.29,27.31,41.32
2003,32.31,27.08,39.32
2004,29.45,24.41,36.39
2005,29.12,23.56,36.5
2006,28.34,22.58,35.89
2007,26.54,21.51,33.17
2008,22.41,19.69,25.74
2009,23.52,21.89,25.54
2010,24.68,22.84,26.98
2011,24.64,22.56,27.19
2012,24.73,22.84,27.05
2013,24.56,22.95,26.52
2014,24.89,23.15,27.02
2015,25.15,23.2,27.52
2016,26.54,24.53,28.98
2017,27.04,25.2,29.26
2018,26.91,25.13,29.05
2019,28.47,26.79,30.5
2020,29.22,27.74,31.02