party_name,ward_valid_votes,ward_valid_votes_perc,provincial_valid_votes,provincial_valid_votes_perc,combined_total,combined_total_perc,total_valid_votes,total_valid_votes_perc,overal_valid_votes,overal_valid_votes
INKATHA FREEDOM PARTY,"638,963",5.44%,"685,942",5.86%,"1,324,905",5.65%,"591,265",8.29%,"1,916,170",6.27%
INTERNATIONAL PARTY,24,0.00%,848,0.01%,872,0.00%,-,-,872,0.00%
INTERNATIONAL REVELATION CONGRESS,"3,292",0.03%,"4,999",0.04%,"8,291",0.04%,"2,645",0.04%,"10,936",0.04%
IQELA LENTSANGO - DAGGA PARTY,419,0.00%,902,0.01%,"1,321",0.01%,-,-,"1,321",0.00%
JUSTICE AND EMPLOYMENT PARTY,"7,703",0.07%,"9,634",0.08%,"17,337",0.07%,"7,906",0.11%,"25,243",0.08%
KAAP AGULHAS CIVIC ORGANISASIE,159,0.00%,192,0.00%,351,0.00%,229,0.00%,580,0.00%
KANNALAND INDEPENDENT PARTY,657,0.01%,686,0.01%,"1,343",0.01%,788,0.01%,"2,131",0.01%
KAREEBERG CIVIC MOVEMENT,825,0.01%,871,0.01%,"1,696",0.01%,"1,048",0.01%,"2,744",0.01%
KAROO DEMOCRATIC FORCE,"1,948",0.02%,"2,083",0.02%,"4,031",0.02%,"2,149",0.03%,"6,180",0.02%
KAROO GEMEENSKAP PARTY,"1,566",0.01%,"1,622",0.01%,"3,188",0.01%,"1,661",0.02%,"4,849",0.02%
KAROO ONTWIKKELINGS PARTY,243,0.00%,262,0.00%,505,0.00%,286,0.00%,791,0.00%
KATEKANI ECONOMIC POWER,129,0.00%,141,0.00%,270,0.00%,-,-,270,0.00%
KHOI-SAN HEAVENLY PARTY,0,0.00%,269,0.00%,269,0.00%,-,-,269,0.00%
KHOISAN KINGDOM AND ALL PEOPLE,38,0.00%,-,-,38,0.00%,-,-,38,0.00%
KHOI-SAN KINGDOM OF RSA,47,0.00%,-,-,47,0.00%,-,-,47,0.00%
KHOISAN REVOLUTION,"1,745",0.01%,"2,129",0.02%,"3,874",0.02%,"2,320",0.03%,"6,194",0.02%
KHOISAN UNITED MOVEMENT,66,0.00%,79,0.00%,145,0.00%,270,0.00%,415,0.00%
KHOWA RESIDENTS ASSOCIATION,175,0.00%,269,0.00%,444,0.00%,-,-,444,0.00%
KINGDOM COVENANT DEMOCRATIC PARTY,381,0.00%,"1,484",0.01%,"1,865",0.01%,"1,689",0.02%,"3,554",0.01%
KNOW YOUR NEIGHBOUR,832,0.01%,880,0.01%,"1,712",0.01%,935,0.01%,"2,647",0.01%
KNYSNA INDEPENDENT MOVEMENT,"1,901",0.02%,"1,797",0.02%,"3,698",0.02%,"1,703",0.02%,"5,401",0.02%
KNYSNA SOCIAL DEMOCRATIC PARTY,28,0.00%,-,-,28,0.00%,-,-,28,0.00%
KNYSNA UNITY CONGRESS,160,0.00%,185,0.00%,345,0.00%,-,-,345,0.00%
KONSERWATIEWE PARTY/CONSERVATIVE PARTY,123,0.00%,82,0.00%,205,0.00%,230,0.00%,435,0.00%
KZN INDEPENDENCE,"2,285",0.02%,"4,370",0.04%,"6,655",0.03%,"1,743",0.02%,"8,398",0.03%
LAND PARTY,"3,286",0.03%,"3,354",0.03%,"6,640",0.03%,"2,852",0.04%,"9,492",0.03%
LANGERBERG INDEPENDENT PARTY,307,0.00%,395,0.00%,702,0.00%,-,-,702,0.00%
LEBOWAKGOMO CIVIC ORGANIZATION,264,0.00%,436,0.00%,700,0.00%,-,-,700,0.00%
LEIHLO LA SETJHABA RAINBOW,174,0.00%,194,0.00%,368,0.00%,323,0.00%,691,0.00%
LEKWA COMMUNITY FORUM,"4,251",0.04%,"4,674",0.04%,"8,925",0.04%,-,-,"8,925",0.03%
LEPHALALE RESIDENTS PARTY,277,0.00%,516,0.00%,793,0.00%,-,-,793,0.00%
LIMPOPO RESIDENTS ASSOCIATION,445,0.00%,451,0.00%,896,0.00%,541,0.01%,"1,437",0.00%
MAGOSHI SWARANANG MOVEMENT,992,0.01%,"1,273",0.01%,"2,265",0.01%,"1,141",0.02%,"3,406",0.01%
MAKANA CITIZENS FRONT,"3,277",0.03%,"3,396",0.03%,"6,673",0.03%,-,-,"6,673",0.02%
MAKANA INDEPENDENT NEW DEAL,330,0.00%,371,0.00%,701,0.00%,-,-,701,0.00%
MALAMULELE COMMUNITY ASSOCIATION,150,0.00%,249,0.00%,399,0.00%,364,0.01%,763,0.00%
MALETSWAI CIVIC ASSOCIATION,"1,147",0.01%,"1,237",0.01%,"2,384",0.01%,"1,303",0.02%,"3,687",0.01%
MANDELA BAY COMMUNITY MOVEMENT,131,0.00%,401,0.00%,532,0.00%,-,-,532,0.00%
MANGAUNG COMMUNITY FORUM,27,0.00%,366,0.00%,393,0.00%,-,-,393,0.00%
MAPSIXTEEN CIVIC MOVEMENT,"22,970",0.20%,"22,627",0.19%,"45,597",0.19%,"22,905",0.32%,"68,502",0.22%
MERAFONG AGENTS OF CHANGE,"1,218",0.01%,"1,356",0.01%,"2,574",0.01%,-,-,"2,574",0.01%
METSIMAHOLO COMMUNITY ASSOCIATION,418,0.00%,492,0.00%,910,0.00%,615,0.01%,"1,525",0.00%
METSIMAHOLO PROGRESSIVE PEOPLE FORUM,91,0.00%,166,0.00%,257,0.00%,154,0.00%,411,0.00%
MIDDELBURG AND HENDRINA RESIDENTS FRONT,"4,955",0.04%,"5,382",0.05%,"10,337",0.04%,-,-,"10,337",0.03%
MINORITIES OF SOUTH AFRICA,"3,084",0.03%,"2,226",0.02%,"5,310",0.02%,-,-,"5,310",0.02%
MINORITY FRONT,"4,026",0.03%,"4,255",0.04%,"8,281",0.04%,-,-,"8,281",0.03%
MOGALAKWENA RESIDENTS ASSOCIATION,125,0.00%,477,0.00%,602,0.00%,-,-,602,0.00%
MOPANI INDEPENDENT MOVEMENT,"2,912",0.02%,"2,546",0.02%,"5,458",0.02%,"2,771",0.04%,"8,229",0.03%
MOQHAKA COMMUNITY FORUM,"1,797",0.02%,"2,231",0.02%,"4,028",0.02%,"2,183",0.03%,"6,211",0.02%
MORETELE INDEPENDENT CIVIC ORGANIZATION,637,0.01%,774,0.01%,"1,411",0.01%,"1,160",0.02%,"2,571",0.01%
MORETELE PEOPLES PARTY,465,0.00%,582,0.00%,"1,047",0.00%,941,0.01%,"1,988",0.01%
MOVEMENT DEMOCRATIC CONGRESS,131,0.00%,190,0.00%,321,0.00%,321,0.00%,642,0.00%
MOVEMENT FOR AFRICAN CONVENTION,237,0.00%,338,0.00%,575,0.00%,-,-,575,0.00%
MOVEMENT FOR TOTAL LIBERATION,222,0.00%,232,0.00%,454,0.00%,306,0.00%,760,0.00%
MPUMALANGA PARTY,"1,471",0.01%,"1,624",0.01%,"3,095",0.01%,"1,605",0.02%,"4,700",0.02%
MTHATHA RATEPAYERS AND RESIDENTS ASSOCIATION,555,0.00%,811,0.01%,"1,366",0.01%,-,-,"1,366",0.00%
NALA COMMUNITY FORUM,"1,432",0.01%,"1,495",0.01%,"2,927",0.01%,-,-,"2,927",0.01%
NAMAKWA CIVIC MOVEMENT,"4,909",0.04%,"5,159",0.04%,"10,068",0.04%,"5,093",0.07%,"15,161",0.05%
NATIONAL COMMUNIST CONGRESS,773,0.01%,751,0.01%,"1,524",0.01%,773,0.01%,"2,297",0.01%
NATIONAL DEMOCRATIC CONVENTION,300,0.00%,296,0.00%,596,0.00%,325,0.00%,921,0.00%
NATIONAL ECONOMIC FIGHTERS,754,0.01%,784,0.01%,"1,538",0.01%,936,0.01%,"2,474",0.01%
NATIONAL FREEDOM PARTY,"56,950",0.49%,"61,074",0.52%,"118,024",0.50%,"52,592",0.74%,"170,616",0.56%
NATIONAL INDEPENDENT PARTY,"1,899",0.02%,"1,995",0.02%,"3,894",0.02%,"2,125",0.03%,"6,019",0.02%
NATIONAL PEOPLES AMBASSADORS,"1,387",0.01%,"1,570",0.01%,"2,957",0.01%,"1,706",0.02%,"4,663",0.02%
NATIONAL PEOPLE'S FRONT,"1,988",0.02%,"2,297",0.02%,"4,285",0.02%,700,0.01%,"4,985",0.02%
NATIONAL RELIGIOUS FREEDOM PARTY,127,0.00%,167,0.00%,294,0.00%,201,0.00%,495,0.00%
NEW HORIZON MOVEMENT,"2,003",0.02%,"1,913",0.02%,"3,916",0.02%,"2,044",0.03%,"5,960",0.02%
NGWATHE RESIDENTS ASSOCIATION,751,0.01%,738,0.01%,"1,489",0.01%,-,-,"1,489",0.00%
NORTHERN ALLIANCE,"5,726",0.05%,"5,499",0.05%,"11,225",0.05%,-,-,"11,225",0.04%
ONE MOVEMENT FOR CAPE TOWN,800,0.01%,"1,167",0.01%,"1,967",0.01%,-,-,"1,967",0.01%
OUDTSHOORN GEMEENSKAP INISIATIEF,"1,188",0.01%,"1,248",0.01%,"2,436",0.01%,"1,346",0.02%,"3,782",0.01%
OUR CITY MATTERS,67,0.00%,336,0.00%,403,0.00%,395,0.01%,798,0.00%
OUR NATION,286,0.00%,300,0.00%,586,0.00%,-,-,586,0.00%
PAN AFRICANIST CONGRESS OF AZANIA,"24,021",0.20%,"32,302",0.28%,"56,323",0.24%,"12,613",0.18%,"68,936",0.23%
PARTY OF ACTION,"1,942",0.02%,"2,605",0.02%,"4,547",0.02%,-,-,"4,547",0.01%
PATRIOTIC ALLIANCE,"111,811",0.95%,"114,736",0.98%,"226,547",0.97%,"38,401",0.54%,"264,948",0.87%
PATRIOTIC FRONT OF AZANIA,584,0.00%,725,0.01%,"1,309",0.01%,283,0.00%,"1,592",0.01%
PEOPLE'S DEMOCRATIC MOVEMENT,"1,749",0.01%,"2,028",0.02%,"3,777",0.02%,"1,730",0.02%,"5,507",0.02%
PEOPLE'S FREEDOM PARTY,"4,079",0.03%,"3,754",0.03%,"7,833",0.03%,"1,101",0.02%,"8,934",0.03%
PEOPLE'S REVOLUTIONARY MOVEMENT,"2,552",0.02%,"2,746",0.02%,"5,298",0.02%,432,0.01%,"5,730",0.02%
PHOKWANE SERVICE DELIVERY FORUM,498,0.00%,571,0.00%,"1,069",0.00%,-,-,"1,069",0.00%
PLAASLIKE BESORGDE INWONERS,"6,631",0.06%,"6,486",0.06%,"13,117",0.06%,"6,446",0.09%,"19,563",0.06%
PLETT DEMOCRATIC CONGRESS,"1,335",0.01%,"1,219",0.01%,"2,554",0.01%,-,-,"2,554",0.01%
POELANO REVELATION PARTY,8,0.00%,142,0.00%,150,0.00%,-,-,150,0.00%
PONGOLA PEOPLE'S PARTY,100,0.00%,138,0.00%,238,0.00%,-,-,238,0.00%
POWER OF AFRICANS UNITY,"1,824",0.02%,"2,869",0.02%,"4,693",0.02%,"1,039",0.01%,"5,732",0.02%
PROGRESSIVE CHANGE,151,0.00%,158,0.00%,309,0.00%,207,0.00%,516,0.00%
PROGRESSIVE COMMUNITY MOVEMENT,264,0.00%,229,0.00%,493,0.00%,-,-,493,0.00%
PROGRESSIVE FRONT OF SOUTH AFRICA,92,0.00%,140,0.00%,232,0.00%,506,0.01%,738,0.00%
PROPHETIC MOVEMENT ARMY,148,0.00%,168,0.00%,316,0.00%,218,0.00%,534,0.00%
RANDFONTEIN PEOPLES PARTY,574,0.00%,756,0.01%,"1,330",0.01%,854,0.01%,"2,184",0.01%
REPUBLICAN CONFERENCE OF TSHWANE,"1,700",0.01%,869,0.01%,"2,569",0.01%,-,-,"2,569",0.01%
REVOLUTIONARY DEMOCRATIC PATRIOTS,76,0.00%,58,0.00%,134,0.00%,-,-,134,0.00%
RISE UP AFRICA / TSOGA AFRICA,24,0.00%,77,0.00%,101,0.00%,-,-,101,0.00%
ROYAL LOYAL PROGRESS,746,0.01%,584,0.00%,"1,330",0.01%,442,0.01%,"1,772",0.01%
SAKHISIZWE CONVENTION,24,0.00%,-,-,24,0.00%,-,-,24,0.00%
SAKHISIZWE PROGRESSIVE MOVEMENT,276,0.00%,249,0.00%,525,0.00%,-,-,525,0.00%
SAVE MADIBENG,"2,971",0.03%,"3,180",0.03%,"6,151",0.03%,"3,320",0.05%,"9,471",0.03%
SAVE TSANTSABANE COALITION,"1,609",0.01%,"1,817",0.02%,"3,426",0.01%,"1,811",0.03%,"5,237",0.02%
SAYCO GONDWE CIVIC MOVEMENT,175,0.00%,238,0.00%,413,0.00%,-,-,413,0.00%
SERVICE DELIVERY MOVEMENT,192,0.00%,220,0.00%,412,0.00%,770,0.01%,"1,182",0.00%
SERVICE FOR ALL,30,0.00%,65,0.00%,95,0.00%,-,-,95,0.00%
SETSOTO SERVICE DELIVERY FORUM,"5,597",0.05%,"5,542",0.05%,"11,139",0.05%,"5,605",0.08%,"16,744",0.05%
SHOSHOLOZA PROGRESSIVE PARTY,348,0.00%,150,0.00%,498,0.00%,-,-,498,0.00%
SINDAWONYE PROGRESSIVE PARTY,"1,095",0.01%,"1,326",0.01%,"2,421",0.01%,"1,612",0.02%,"4,033",0.01%
SINGUKUKHANYA KWEZWE CHRISTIAN PARTY,217,0.00%,216,0.00%,433,0.00%,-,-,433,0.00%
SIYATHEMBA COMMUNITY MOVEMENT,"3,111",0.03%,"3,494",0.03%,"6,605",0.03%,"3,905",0.05%,"10,510",0.03%
SIZWE UMMAH NATION,616,0.01%,473,0.00%,"1,089",0.00%,-,-,"1,089",0.00%
SOCIALIST AGENDA OF DISPOSSESSED AFRICANS,"2,021",0.02%,"2,517",0.02%,"4,538",0.02%,"2,519",0.04%,"7,057",0.02%
SOCIALIST CIVIC MOVEMENT,49,0.00%,129,0.00%,178,0.00%,-,-,178,0.00%
SOCIALIST ECONOMIC FREEDOM MOVEMENT,580,0.00%,504,0.00%,"1,084",0.00%,-,-,"1,084",0.00%
SOCIALIST PARTY OF SOUTH AFRICA,"1,952",0.02%,"2,200",0.02%,"4,152",0.02%,"2,410",0.03%,"6,562",0.02%
SOCIALIST REVOLUTIONARY WORKERS PARTY,"1,851",0.02%,"1,806",0.02%,"3,657",0.02%,"1,787",0.03%,"5,444",0.02%
SOL- PLAATJIE SERVICE DELIVERY FORUM,"2,645",0.02%,"2,923",0.02%,"5,568",0.02%,-,-,"5,568",0.02%
SOUTH AFRICA MY HOME RESIDENTS ASSOCIATION,"1,686",0.01%,"1,715",0.01%,"3,401",0.01%,"2,177",0.03%,"5,578",0.02%
SOUTH AFRICA VUKA MOVEMENT,284,0.00%,235,0.00%,519,0.00%,-,-,519,0.00%
SOUTH AFRICAN MAINTENANCE AND ESTATE BENEFICIARIES ASSOCIATI,"2,234",0.02%,"2,074",0.02%,"4,308",0.02%,"2,063",0.03%,"6,371",0.02%
SOUTH AFRICAN PEOPLES MOVEMENT,27,0.00%,92,0.00%,119,0.00%,-,-,119,0.00%
SOUTH AFRICAN POLITICAL ASSOCIATION,648,0.01%,786,0.01%,"1,434",0.01%,-,-,"1,434",0.00%
SOUTH AFRICAN RELIGIOUS CIVIC ORGANISATION,278,0.00%,256,0.00%,534,0.00%,-,-,534,0.00%
SOUTH AFRICAN ROYAL KINGDOMS ORGANIZATION,"2,602",0.02%,"3,454",0.03%,"6,056",0.03%,"1,030",0.01%,"7,086",0.02%
SOUTH AFRICAN SECURITY ORGANISATION,21,0.00%,200,0.00%,221,0.00%,546,0.01%,767,0.00%
SOUTH AFRICAN UNITED NATIONAL DEMOCRATIC FRONT,109,0.00%,40,0.00%,149,0.00%,-,-,149,0.00%
SPECTRUM NATIONAL PARTY,"2,469",0.02%,"2,504",0.02%,"4,973",0.02%,545,0.01%,"5,518",0.02%
STERKSPRUIT CIVIC ASSOCIATION,"1,061",0.01%,"1,221",0.01%,"2,282",0.01%,"1,651",0.02%,"3,933",0.01%
SUID - KAAP SAAMSTAAN,423,0.00%,387,0.00%,810,0.00%,-,-,810,0.00%
TEAM SUGAR SOUTH AFRICA,"8,896",0.08%,"9,365",0.08%,"18,261",0.08%,"9,461",0.13%,"27,722",0.09%
THABAZIMBI FORUM FOR SERVICE DELIVERY,604,0.01%,665,0.01%,"1,269",0.01%,-,-,"1,269",0.00%
THABAZIMBI RESIDENTS ASSOCIATION,"2,031",0.02%,"2,077",0.02%,"4,108",0.02%,"2,154",0.03%,"6,262",0.02%
THE GREENS,507,0.00%,690,0.01%,"1,197",0.01%,-,-,"1,197",0.00%
THE INDEPENDENTS,"3,033",0.03%,"4,196",0.04%,"7,229",0.03%,"4,857",0.07%,"12,086",0.04%
THE NATIONALS OF SOUTH AFRICA,491,0.00%,526,0.00%,"1,017",0.00%,-,-,"1,017",0.00%
THE ORGANIC HUMANITY MOVEMENT,"3,612",0.03%,"3,279",0.03%,"6,891",0.03%,-,-,"6,891",0.02%
THE PEOPLE'S AGENDA,241,0.00%,192,0.00%,433,0.00%,-,-,433,0.00%
THE PEOPLE'S VOICE,407,0.00%,401,0.00%,808,0.00%,162,0.00%,970,0.00%
TIKWANA YOUTH POWER,669,0.01%,668,0.01%,"1,337",0.01%,788,0.01%,"2,125",0.01%
TRANSFORMATIVE YOUTH MOVEMENT,589,0.01%,537,0.00%,"1,126",0.00%,-,-,"1,126",0.00%
TRANSFORMING DRAKENSTEIN COMMUNITY FORUM,159,0.00%,159,0.00%,318,0.00%,206,0.00%,524,0.00%
TRULY ALLIANCE,"1,816",0.02%,"1,869",0.02%,"3,685",0.02%,-,-,"3,685",0.01%
TSOGANG CIVIC MOVEMENT,"9,095",0.08%,"9,842",0.08%,"18,937",0.08%,"9,677",0.14%,"28,614",0.09%
UMNOTHO DEMOCRATIC FRONT,5,0.00%,26,0.00%,31,0.00%,-,-,31,0.00%
UMSOBOMVU RESIDENTS ASSOCIATION,"2,738",0.02%,"2,753",0.02%,"5,491",0.02%,"2,851",0.04%,"8,342",0.03%
UNEMPLOYMENT MOVEMENT SA,58,0.00%,70,0.00%,128,0.00%,-,-,128,0.00%
UNITED CHRISTIAN DEMOCRATIC PARTY,"7,862",0.07%,"10,885",0.09%,"18,747",0.08%,"7,636",0.11%,"26,383",0.09%
UNITED COMMUNITY FRONT,276,0.00%,236,0.00%,512,0.00%,-,-,512,0.00%
UNITED CULTURAL MOVEMENT,848,0.01%,"1,186",0.01%,"2,034",0.01%,640,0.01%,"2,674",0.01%
UNITED DEMOCRATIC MOVEMENT,"50,902",0.43%,"60,303",0.51%,"111,205",0.47%,"46,508",0.65%,"157,713",0.52%
UNITED FRONT OF THE EASTERN CAPE,539,0.00%,585,0.00%,"1,124",0.00%,-,-,"1,124",0.00%
UNITED INDEPENDENT MOVEMENT,"14,315",0.12%,"16,090",0.14%,"30,405",0.13%,"1,038",0.01%,"31,443",0.10%
UNITED PROGRESSIVE PARTY SOUTH AFRICA,271,0.00%,553,0.00%,824,0.00%,-,-,824,0.00%
UNITED RESIDENTS FRONT,214,0.00%,171,0.00%,385,0.00%,437,0.01%,822,0.00%
UNITED SOUTH AFRICA,573,0.00%,585,0.00%,"1,158",0.00%,-,-,"1,158",0.00%
US THE PEOPLE,144,0.00%,519,0.00%,663,0.00%,-,-,663,0.00%
VAAL ALTERNATIVE ALLIANCE LEKGOTLA,"1,234",0.01%,"1,039",0.01%,"2,273",0.01%,"1,310",0.02%,"3,583",0.01%
VOTER'S INDEPENDENT PARTY - SA,1,0.00%,-,-,1,0.00%,-,-,1,0.00%
VRYHEIDSFRONT PLUS,"276,136",2.35%,"273,213",2.33%,"549,349",2.34%,"161,056",2.26%,"710,405",2.32%
WESTERN PROVINCE PARTY,998,0.01%,898,0.01%,"1,896",0.01%,900,0.01%,"2,796",0.01%
WITZENBERG AKSIE,741,0.01%,754,0.01%,"1,495",0.01%,811,0.01%,"2,306",0.01%
WITZENBERG ONAFHANKLIKE DEMOKRATIESE PARTY,183,0.00%,171,0.00%,354,0.00%,-,-,354,0.00%
WITZENBERG PARTY,373,0.00%,404,0.00%,777,0.00%,518,0.01%,"1,295",0.00%
XIMOKO PARTY,804,0.01%,"1,959",0.02%,"2,763",0.01%,"2,072",0.03%,"4,835",0.02%
YOUNG PEOPLES PARTY,58,0.00%,86,0.00%,144,0.00%,-,-,144,0.00%
YOUTH INDEPENDENCE PARTY AND YOUTH ASSOCIATES,197,0.00%,203,0.00%,400,0.00%,192,0.00%,592,0.00%
ZULU ROYAL PROPERTY,1,0.00%,-,-,1,0.00%,-,-,1,0.00%